Date,Economically Active Population (thsd),Employed Population (thsd),Unemployed Population (thsd),Unemployment Rate (%)
2010-01,8448.4,7920.6,527.8,6.3
2010-02,8560.4,8033.9,526.5,6.2
2010-03,8657.7,8133.4,524.3,6.1
2010-04,8574.1,8060.0,514.1,6.0
2010-05,8619.3,8117.5,501.8,5.8
2010-06,8667.9,8172.0,495.9,5.7
2010-07,8656.5,8169.9,486.6,5.6
2010-08,8654.3,8180.1,474.2,5.6
2010-09,8647.6,8163.3,484.3,5.6
2010-10,8617.3,8145.2,472.1,5.5
2010-11,8615.6,8141.3,474.3,5.5
2010-12,8615.3,8137.6,477.7,5.5
2011-01,8610.3,8130.8,479.5,5.6
2011-02,8610.2,8134.6,475.6,5.5
2011-03,8610.8,8138.2,472.6,5.5
2011-04,8658.1,8184.9,473.2,5.5
2011-05,8672.1,8205.5,466.6,5.4
2011-06,8683.9,8222.7,461.2,5.3
2011-07,8920.6,8448.4,472.2,5.3
2011-08,8915.7,8443.5,472.2,5.3
2011-09,8910.4,8437.9,472.5,5.3
2011-10,8890.0,8415.0,475.0,5.3
2011-11,8884.1,8406.5,477.6,5.4
2011-12,8945.1,8465.9,479.2,5.4
2012-01,8924.3,8442.9,481.4,5.4
2012-02,8949.9,8469.9,480.0,5.4
2012-03,8948.8,8474.6,474.2,5.3
2012-04,8965.0,8490.0,475.0,5.3
2012-05,9004.0,8530.4,473.6,5.3
2012-06,9030.4,8559.8,470.6,5.2
2012-07,9014.0,8543.9,470.1,5.2
2012-08,9013.8,8540.7,473.1,5.2
2012-09,9011.6,8536.3,475.3,5.3
2012-10,8975.1,8500.1,475.0,5.3
2012-11,8974.5,8499.8,474.7,5.3
2012-12,8974.6,8499.9,474.7,5.3
2013-01,9011.8,8537.1,474.7,5.3
2013-02,9024.2,8549.7,474.5,5.3
2013-03,9025.8,8551.5,474.3,5.3
2013-04,9060.4,8589.4,471.0,5.2
2013-05,9059.7,8590.8,468.9,5.2
2013-06,9059.6,8591.8,467.8,5.2
2013-07,9075.0,8606.9,468.1,5.2
2013-08,9076.2,8607.9,468.3,5.2
2013-09,9076.8,8608.3,468.5,5.2
2013-10,9042.9,8576.3,466.6,5.2
2013-11,9042.3,8575.9,466.4,5.2
2013-12,9042.0,8575.8,466.2,5.2
2014-01,9051.7,8586.9,464.8,5.1
2014-02,9050.9,8587.1,463.8,5.1
2014-03,9050.8,8587.3,463.5,5.1
2014-04,9103.8,8641.8,462.0,5.1
2014-05,9116.7,8655.4,461.3,5.1
2014-06,9114.7,8654.9,459.8,5.0
2014-07,9135.5,8677.1,458.4,5.0
2014-08,9137.2,8679.4,457.8,5.0
2014-09,9137.4,8679.3,458.1,5.0
2014-10,9109.6,8651.2,458.4,5.0
2014-11,9109.6,8651.0,458.6,5.0
2014-12,9109.9,8651.1,458.8,5.0
2015-01,8933.6,8483.0,450.5,5.0
2015-02,8866.0,8420.0,446.0,5.0
2015-03,8890.2,8444.3,445.7,5.0
2015-04,9023.4,8574.9,448.5,5.0
2015-05,9023.9,8575.3,448.6,5.0
2015-06,9024.1,8575.7,448.4,5.0
2015-07,9076.9,8630.9,446.0,4.9
2015-08,9080.5,8637.4,443.1,4.9
2015-09,9077.8,8635.5,442.3,4.9
2015-10,8959.3,8512.8,446.5,5.0
2015-11,8959.4,8508.4,451.0,5.0
2015-12,8966.7,8510.9,455.8,5.1
2016-01,8847.2,8396.9,450.3,5.1
2016-02,8829.7,8383.9,445.8,5.1
2016-03,8829.3,8384.4,444.9,5.0
2016-04,8885.5,8439.0,446.5,5.0
2016-05,8933.2,8485.2,448.0,5.0
2016-06,8978.2,8530.5,447.7,5.0
2016-07,9015.5,8569.6,445.9,4.9
2016-08,9039.8,8595.6,444.2,4.9
2016-09,9038.6,8594.6,444.0,4.9
2016-10,9008.3,8566.1,442.2,4.9
2016-11,8960.7,8519.5,441.2,4.9
2016-12,8921.8,8481.3,440.5,4.9
2017-01,8888.7,8449.0,439.7,4.9
2017-02,8889.2,8450.1,439.1,4.9
2017-03,8902.3,8463.5,438.8,4.9
2017-04,8957.0,8517.6,439.4,4.9
2017-05,8989.4,8550.0,439.4,4.9
2017-06,8994.5,8555.4,439.1,4.9
2017-07,9012.2,8572.0,440.2,4.9
2017-08,9013.4,8572.1,441.3,4.9
2017-09,9013.7,8572.2,441.5,4.9
2017-10,8995.0,8555.1,439.9,4.9
2017-11,8977.0,8538.0,439.0,4.9
2017-12,8969.8,8530.8,439.0,4.9
2018-01,8991.3,8551.8,439.5,4.9
2018-02,9011.1,8571.5,439.6,4.9
2018-03,9018.6,8578.9,439.7,4.9
2018-04,9041.5,8600.8,440.7,4.9
2018-05,9089.4,8647.8,441.6,4.9
2018-06,9105.8,8663.9,441.9,4.9
2018-07,9144.3,8702.6,441.7,4.8
2018-08,9174.3,8732.7,441.6,4.8
2018-09,9190.0,8748.4,441.6,4.8
2018-10,9159.7,8717.9,441.8,4.8
2018-11,9149.0,8707.2,441.8,4.8
2018-12,9146.1,8704.0,442.1,4.8
2019-01,9159.6,8716.9,442.7,4.8
2019-02,9178.8,8735.7,443.1,4.8
2019-03,9187.8,8744.9,442.9,4.8
2019-04,9199.8,8757.5,442.3,4.8
2019-05,9204.3,8762.5,441.8,4.8
2019-06,9210.0,8768.7,441.3,4.8
2019-07,9214.2,8772.5,441.7,4.8
2019-08,9215.7,8773.4,442.3,4.8
2019-09,9216.0,8773.7,442.3,4.8
2019-10,9215.2,8773.4,441.8,4.8
2019-11,9215.0,8773.6,441.4,4.8
2019-12,9214.2,8773.2,441.0,4.8
2020-01,9214.6,8773.4,441.2,4.8
2020-02,9202.5,8760.9,441.6,4.8
2020-03,9192.7,8750.1,442.6,4.8
2020-04,,,,5.00
2020-05,,,,5.00
2020-06,,,,5.00
2020-07,,,,5.00
2020-08,,,,5.00
2020-09,,,,5.00
2020-10,,,,5.00
2020-11,,,,4.90
2020-12,,,,4.90
2021-01,,,,4.90
2021-02,,,,4.90
2021-03,,,,4.90
2021-04,,,,4.90
2021-05,,,,4.90
2021-06,,,,4.90
2021-07,9263.7,8812.9,450.8,4.9
2021-08,9263.8,8813.0,450.8,4.9
2021-09,9263.4,8812.9,450.5,4.9
2021-10,9257.3,8806.5,450.8,4.9
2021-11,9255.5,8805.0,450.5,4.9
2021-12,9274.1,8824.2,449.9,4.9
2022-01,9419.1,8959.7,459.4,4.9
2022-02,9420.1,8959.6,460.5,4.9
2022-03,9419.3,8959.5,459.8,4.9
2022-04,9427.4,8967.2,460.2,4.9
2022-05,9432.2,8971.9,460.3,4.9
2022-06,9434.2,8973.9,460.3,4.9
2022-07,9434.8,8975.4,459.4,4.9
2022-08,9430.1,8971.0,459.1,4.9
2022-09,9427.5,8968.4,459.1,4.9
2022-10,9421.5,8965.2,456.3,4.9
2022-11,9421.1,8965.1,456.0,4.9
2022-12,9422.2,8966.2,456.0,4.9
2023-01,9471.8,9017.0,454.8,4.8
2023-02,9491.2,9037.8,453.4,4.8
2023-03,9492.9,9040.9,452.0,4.8
2023-04,9532.8,9080.0,452.8,4.7
2023-05,9573.2,9120.5,452.7,4.7
2023-06,9597.1,9144.8,452.3,4.7
2023-07,9571.5,9119.7,451.8,4.7
2023-08,9557.6,9106.0,451.6,4.7
2023-09,9543.4,9092.3,451.1,4.7
2023-10,9499.2,9051.6,447.6,4.7
2023-11,9478.8,9033.1,445.7,4.7
2023-12,9486.6,9042.2,444.4,4.7
2024-01,9603.5,9151.2,452.3,4.7
2024-02,9613.1,9160.2,452.9,4.7
2024-03,9643.4,9190.5,452.9,4.7
2024-04,9642.0,9190.2,451.8,4.7
2024-05,9641.5,9190.4,451.1,4.7
2024-06,9640.7,9190.6,450.1,4.7
2024-07,9681.3,9232.5,448.8,4.6
2024-08,9683.1,9235.1,448.0,4.6
2024-09,9682.8,9233.8,449.0,4.6
2024-10,9650.0,9201.6,448.4,4.6
2024-11,9645.3,9197.0,448.3,4.6
2024-12,9640.6,9192.4,448.2,4.6
2025-01,9733.6,9283.4,450.2,4.6
2025-02,9735.9,9283.7,452.2,4.6
2025-03,9735.4,9283.4,452.0,4.6
2025-04,9748.0,9298.7,449.3,4.6
2025-05,9749.5,9300.9,448.6,4.6
2025-06,9750.1,9301.6,448.5,4.6
2025-07,9773.1,9324.2,448.9,4.6
2025-08,9789.7,9340.8,448.9,4.6
2025-09,9773.3,9325.3,448.0,4.6
2025-10,9724.4,9278.4,446.0,4.6
2025-11,9723.2,9277.6,445.6,4.6
2025-12,9726.2,9280.7,445.5,4.6
2026-01,9717.3,9271.4,445.9,4.6